Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,DepositChecking,1774505119.192236,442,15,1
5,TransactSavings,1774505119.202251,456,19,1
2,Balance,1774505119.212256,485,3,1
3,DepositChecking,1774505119.220570,468,6,1
3,DepositChecking,1774505119.230354,480,0,1
1,Amalgamate,1774505119.240377,759,1,1
6,WriteCheck,1774505119.252749,652,2,1
3,DepositChecking,1774505119.262167,583,5,1
6,WriteCheck,1774505119.272012,563,4,1
6,WriteCheck,1774505119.280393,599,8,1
6,WriteCheck,1774505119.291131,698,7,1
3,DepositChecking,1774505119.300473,886,9,1
4,SendPayment,1774505119.310387,928,11,1
6,WriteCheck,1774505119.322369,595,12,1
3,DepositChecking,1774505119.331229,701,16,1
6,WriteCheck,1774505119.340391,896,10,1
1,Amalgamate,1774505119.350414,1043,14,1
3,DepositChecking,1774505119.362733,861,13,1
3,DepositChecking,1774505119.372158,865,17,1
6,WriteCheck,1774505119.382315,870,18,1
4,SendPayment,1774505119.392250,850,15,1
4,SendPayment,1774505119.401377,641,19,1
5,TransactSavings,1774505119.412474,860,3,1
3,DepositChecking,1774505119.421495,1036,6,1
6,WriteCheck,1774505119.432426,880,0,1
1,Amalgamate,1774505119.442234,786,1,1
5,TransactSavings,1774505119.452272,913,2,1
2,Balance,1774505119.462281,905,5,1
2,Balance,1774505119.471439,974,4,1
5,TransactSavings,1774505119.481501,902,8,1
4,SendPayment,1774505119.492447,886,7,1
6,WriteCheck,1774505119.502224,835,9,1
2,Balance,1774505119.510629,906,11,1
4,SendPayment,1774505119.522484,920,12,1
1,Amalgamate,1774505119.532219,969,16,1
3,DepositChecking,1774505119.541278,615,10,1
5,TransactSavings,1774505119.552513,915,14,1
2,Balance,1774505119.562203,853,13,1
1,Amalgamate,1774505119.572281,899,17,1
4,SendPayment,1774505119.582273,943,18,1
6,WriteCheck,1774505119.592274,942,15,1
4,SendPayment,1774505119.602289,892,19,1
3,DepositChecking,1774505119.610380,880,3,1
2,Balance,1774505119.620379,657,6,1
1,Amalgamate,1774505119.630470,1056,0,1
6,WriteCheck,1774505119.642733,1095,1,1
1,Amalgamate,1774505119.652151,994,2,1
1,Amalgamate,1774505119.661506,956,5,1
5,TransactSavings,1774505119.671346,791,4,1
5,TransactSavings,1774505119.681425,654,8,1
4,SendPayment,1774505119.691086,901,7,1
6,WriteCheck,1774505119.702570,856,9,1
6,WriteCheck,1774505119.710459,903,11,1
1,Amalgamate,1774505119.722441,998,12,1
5,TransactSavings,1774505119.732242,962,16,1
3,DepositChecking,1774505119.741045,685,10,1
4,SendPayment,1774505119.750575,913,14,1
2,Balance,1774505119.762700,972,13,1
5,TransactSavings,1774505119.772159,845,17,1
2,Balance,1774505119.782291,801,18,1
6,WriteCheck,1774505119.792256,898,15,1
4,SendPayment,1774505119.802266,1017,19,1
3,DepositChecking,1774505119.812265,876,3,1
2,Balance,1774505119.822099,947,6,1
5,TransactSavings,1774505119.831582,742,0,1
5,TransactSavings,1774505119.840367,829,1,1
4,SendPayment,1774505119.850370,920,2,1
6,WriteCheck,1774505119.860380,885,5,1
